ref,group,title,title_chars,price,qty,shipping,photos,folder
053,1 - Post first,"Jaclo Uptown Contempo Bathroom Faucet, Satin Nickel - New (8880-L-SN)",69,325,2,both,3,1 - Post first/053 Jaclo Uptown Contempo bathroom faucet - $325
054,2 - Post next,"Jaclo 24"" Slim Shower Wall Bar, Graphite - New (9624-GPH)",57,320,1,both,2,2 - Post next/054 Jaclo 24inch slim shower wall bar - $320
055,2 - Post next,"Jaclo Round Pressure-Balance Shower Trim w/ Diverter, Chrome - New",66,130,2,both,3,2 - Post next/055 Jaclo Round pressurebalance trim with divert - $130
056,2 - Post next,"Jaclo Round Pressure-Balance Shower Trim w/ Diverter, Satin Nickel - New",72,180,1,both,3,2 - Post next/056 Jaclo Round pressurebalance trim with divert - $180
057,2 - Post next,"Jaclo Contempo II 32"" Grab Bar, Polished Chrome - New (G40-32-PCH)",66,245,3,both,3,2 - Post next/057 Jaclo Contempo II 32inch grab bar - $245
058,2 - Post next,"Jaclo Diva Hand Shower, Graphite - New (S456-GPH)",49,105,1,both,2,2 - Post next/058 Jaclo Diva hand shower - $105
059,2 - Post next,"Kohler Devonshire Tub Spout, Oil-Rubbed Bronze - New (373-2BZ)",62,25,1,bundle,3,2 - Post next/059 Kohler Devonshire nondiverter tub spout - $25
060,3 - Reshoot or verify first,"Kohler Memoirs Stately Volume Control Trim, Brushed Nickel - New",64,100,2,both,2,3 - Reshoot or verify first/060 Kohler Memoirs Stately volumecontrol trim - $100
061,1 - Post first,"Moen 1.75 GPM Rain Showerhead, Chrome - New (S6310EP)",53,120,1,both,3,1 - Post first/061 Moen Rain showerhead - $120
062,2 - Post next,"Moen Wynford Posi-Temp Shower Trim, Chrome - New (T4502)",56,105,1,both,3,2 - Post next/062 Moen Wynford shower trim - $105
063,2 - Post next,"Moen Wynford Roman Tub Faucet Trim, Oil-Rubbed Bronze - New",59,310,2,both,3,2 - Post next/063 Moen Wynford Roman tub trim - $310
064,2 - Post next,"Moen Wynford Roman Tub Faucet Trim, Brushed Nickel - New (T653BN)",65,290,2,both,3,2 - Post next/064 Moen Wynford Roman tub trim - $290
065,3 - Reshoot or verify first,"Moen Weymouth Roman Tub Faucet w/ Hand Shower, Brushed Nickel - New",67,1455,1,local,2,3 - Reshoot or verify first/065 Moen Weymouth Roman tub trim with hand show - $1455
066,2 - Post next,"Moen Wynford M-CORE Shower Trim, Oil-Rubbed Bronze - New",56,265,1,both,2,2 - Post next/066 Moen MCORE shower trim - $265
067,3 - Reshoot or verify first,"Moen Wynford M-CORE Tub & Shower Trim, Chrome - New (UT24503EP)",63,195,2,both,2,3 - Reshoot or verify first/067 Moen MCORE tub  shower trim - $195
068,2 - Post next,"Moen Wynford M-CORE Tub & Shower Trim, Oil-Rubbed Bronze - New",62,265,1,both,3,2 - Post next/068 Moen MCORE tub  shower trim - $265
069,2 - Post next,"Moen Wynford M-CORE 3-Series Shower Trim, Chrome - New (UT35502)",64,200,1,both,2,2 - Post next/069 Moen MCORE shower trim - $200
070,3 - Reshoot or verify first,"MTI Incline 2 Undermount Bathroom Sink, Matte White - New",57,540,1,local,2,3 - Reshoot or verify first/070 Mti Incline 2 undermount bathroom sink - $540
071,2 - Post next,"Newport Brass Joffrey Toilet Paper Holder, Polished Nickel - New",64,120,1,both,3,2 - Post next/071 Newport Brass Joffrey toiletpaper holder - $120
072,2 - Post next,Pfister Freestanding Tub Filler Rough Valve w/ Stops - New (0X6-270R),69,95,3,both,2,2 - Post next/072 Pfister Freestanding tubfiller rough valve - $95
073,2 - Post next,"Pfister Deckard Toilet Paper Holder, Polished Chrome - New",58,35,5,bundle,2,2 - Post next/073 Pfister Toiletpaper holder - $35
074,2 - Post next,"Phylrich 1/2"" Mini Thermostatic Valve for Wall Bidet - New (1-124)",66,185,8,both,2,2 - Post next/074 Phylrich Wallbidet thermostatic rough valve - $185
075,1 - Post first,"Phylrich Single-Handle Bathroom Faucet, French Brass - New",58,200,2,both,3,1 - Post first/075 Phylrich Singlehandle lavatory faucet - $200
076,3 - Reshoot or verify first,Phylrich Push-Pull Manual Diverter Part - New (DPB2100X21C),59,55,5,both,1,3 - Reshoot or verify first/076 Phylrich Pushpull manual diverter - $55
077,3 - Reshoot or verify first,"QM Drain Delmar Kai 48"" Linear Shower Drain, Gold - New",55,400,1,local,3,3 - Reshoot or verify first/077 Qmdrain Delmar Kai 48inch linear drain - $400
078,1 - Post first,"Riobel 2-Spray Hand Shower Kit w/ Slide Bar, Black - New (4825BK)",65,215,1,both,3,1 - Post first/078 Riobel Twospray hand shower  slide bar - $215
079,2 - Post next,"Riobel Salome/Equinox Supply Elbow, Black - New (772BK)",55,40,1,both,2,2 - Post next/079 Riobel Salome  Equinox supply elbow - $40
080,1 - Post first,"Riobel Paradox Widespread Bathroom Faucet, Brushed Gold - New",61,400,1,both,2,1 - Post first/080 Riobel Paradox widespread bathroom faucet - $400
081,3 - Reshoot or verify first,Riobel R46 Thermostatic/Pressure-Balance Rough Valve - New,58,165,4,both,2,3 - Reshoot or verify first/081 Riobel Thermostatic  pressurebalance rough va - $165
082,3 - Reshoot or verify first,"Riobel Salome Single-Hole Bathroom Faucet, Chrome - New (SA01C)",63,335,1,both,2,3 - Reshoot or verify first/082 Riobel Salome bathroom faucet with popup - $335
084,2 - Post next,"Riobel Riu Valve Trim Kit, Chrome - New (TRUTM44KNC)",52,230,1,both,2,2 - Post next/084 Riobel Riu valve trim - $230
085,3 - Reshoot or verify first,"Robern PL Portray 24x30 Medicine Cabinet, Beveled Mirror - New",62,300,1,local,2,3 - Reshoot or verify first/085 Robern PL Portray 24  30 medicine cabinet - $300
086,3 - Reshoot or verify first,"Robern PL Series 19.25x30 Medicine Cabinet, Black Interior - New",64,175,1,local,2,3 - Reshoot or verify first/086 Robern PL Series 19  30 medicine cabinet - $175
087,2 - Post next,"Rohl Double Robe Hook, Satin Nickel - New (A1481IWSTN)",54,140,2,both,2,2 - Post next/087 Rohl Double robe hook - $140
088,3 - Reshoot or verify first,"Rohl Campo Pressure-Balance Shower Trim, Chrome - New",53,110,1,both,1,3 - Reshoot or verify first/088 Rohl Campo pressurebalance trim - $110
089,3 - Reshoot or verify first,"Rohl Campo Pressure-Balance Shower Trim, Satin Nickel - New",59,200,2,both,1,3 - Reshoot or verify first/089 Rohl Campo pressurebalance trim - $200
090,3 - Reshoot or verify first,"Rohl Meda Pressure-Balance Shower Trim, Chrome - New (LV110L-APC)",65,250,1,both,1,3 - Reshoot or verify first/090 Rohl Meda pressurebalance trim - $250
091,3 - Reshoot or verify first,"Rohl Meda Pressure-Balance Shower Trim, Satin Nickel - New",58,300,1,both,1,3 - Reshoot or verify first/091 Rohl Meda pressurebalance trim - $300
092,3 - Reshoot or verify first,"Rohl 1983 Bar/Prep Faucet, Satin Nickel - New (R7514SLMSTN-2)",61,499,2,both,4,3 - Reshoot or verify first/092 Rohl 1983 bar  prep faucet - $499
093,1 - Post first,"Rohl Graceline Pull-Down Kitchen Faucet, Satin Nickel - New",59,499,2,both,3,1 - Post first/093 Rohl Graceline pulldown kitchen faucet - $499
094,1 - Post first,"Rohl Myrina Pull-Down Kitchen Faucet, Matte Black - New",55,435,2,both,4,1 - Post first/094 Rohl Myrina pulldown kitchen faucet - $435
095,3 - Reshoot or verify first,"Rohl Myrina Bar/Prep Faucet, Polished Chrome - New (MY61D1LMAPC)",64,270,1,both,1,3 - Reshoot or verify first/095 Rohl Myrina bar  prep faucet - $270
096,3 - Reshoot or verify first,"Rohl Myrina Bar/Prep Faucet, Matte Black - New (MY61D1LMMB)",59,420,2,both,1,3 - Reshoot or verify first/096 Rohl Myrina bar  prep faucet - $420
097,3 - Reshoot or verify first,"Rohl Myrina Bar/Prep Faucet, Satin Nickel - New (MY61D1LMSTN)",61,420,2,both,1,3 - Reshoot or verify first/097 Rohl Myrina bar  prep faucet - $420
098,3 - Reshoot or verify first,"Rohl 1983 Bar/Prep Faucet, Polished Chrome - New (R7514SLMAPC-2)",64,395,2,both,1,3 - Reshoot or verify first/098 Rohl 1983 bar  prep faucet - $395
099,3 - Reshoot or verify first,"Rohl Graceline Pull-Down Kitchen Faucet, Polished Chrome - New",62,185,2,both,1,3 - Reshoot or verify first/099 Rohl Graceline pulldown kitchen faucet - $185
100,3 - Reshoot or verify first,"Rohl Lux Pull-Down Kitchen Faucet, Polished Nickel - New (R7520PN)",66,499,1,both,1,3 - Reshoot or verify first/100 Rohl Lux pulldown kitchen faucet - $499
101,3 - Reshoot or verify first,"Rohl Baltera Multifunction Showerhead, Satin Nickel - New (WI0197STN)",69,155,7,both,3,3 - Reshoot or verify first/101 Rohl Baltera multifunction showerhead - $155
102,3 - Reshoot or verify first,"Rohl Baltera Multifunction Showerhead, Polished Chrome - New",60,90,4,both,1,3 - Reshoot or verify first/102 Rohl Baltera multifunction showerhead - $90
118,2 - Post next,"Delta Trillian Roman Tub Trim w/ Hand Shower, Black Stainless - New",67,440,1,both,3,2 - Post next/118 Delta Trillian Roman tub trim with hand show - $440
