ref,decision_in_package,title,price,qty,photos,cover_grade,buyer,shipping,predicted_performance_estimate,fixes
041,HOLD,Isenberg / Flusso Roman tub faucet with hand shower Brushed nickel 260.2400BN,295,1,4,B,Finished fixture - homeowner + contractor,SHIP + LOCAL,DO NOT POST YET,Use photo 02 as cover (product) - current 01 is box/packaging; Title 77 chars - trim to <=70
042,HOLD,Isenberg / Flusso Pressure-balance valve with stops PBV.1005AS-BN,115,1,3,B,Rough valve - contractor buyer,SHIP + LOCAL,DO NOT POST YET,
043,IMPROVE EXISTING,Isenberg / Flusso Pressure-balance rough with two-way diverter Chrome PBV1005ACP,115,2,3,B,Rough valve - contractor buyer,SHIP + LOCAL,Fair (narrow buyer pool; better with shipping),Title 80 chars - trim to <=70
044,IMPROVE EXISTING,Isenberg / Flusso Two-output shower trim Chrome UF.2100TCP,140,6,3,B,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,Fair (narrow buyer pool; better with shipping),
045,HOLD,Graff Replacement cartridge V2038.32.5Z,5,1,1,A,Accessory/part,Ship only as a bundle or buyer-paid; local preferred,DO NOT POST YET,$5 each - list together as a pair and offer shipping; nationwide Graff owners are the buyers; Only 1 photo(s) - aim for 4+
046,HOLD,Graff Replacement cartridge V-2038.31.5Z,5,1,1,A,Accessory/part,Ship only as a bundle or buyer-paid; local preferred,DO NOT POST YET,$5 each - list together as a pair and offer shipping; nationwide Graff owners are the buyers; Only 1 photo(s) - aim for 4+
047,IMPROVE EXISTING,JACLO Reducing coupling Satin nickel 16321-3412-SN,35,1,2,A,Accessory/part,Ship only as a bundle or buyer-paid; local preferred,Fair,Only 2 photo(s) - aim for 4+
048,IMPROVE EXISTING,JACLO 60-inch double-spiral shower hose Graphite 3060-DS-GPH,30,1,2,B,Accessory/part,Ship only as a bundle or buyer-paid; local preferred,Fair,Only 2 photo(s) - aim for 4+
049,IMPROVE EXISTING,JACLO 60-inch tile-in channel grate — grate only Brushed stainless (bss) 6226-60-BSS,100,1,3,C,Accessory/part,LOCAL (or quote your own freight) - 60-inch grate,Weak,"Cover is box/label - reshoot product before posting; Title 84 chars - trim to <=70; Remove internal code/odd finish text ""(bss)"" from title"
050,IMPROVE EXISTING,JACLO 48-inch ceiling shower nipple Matte black 801-12.48-MBK,165,1,2,B,Accessory/part,LOCAL (or quote your own freight) - 48-inch pipe,Fair,Only 2 photo(s) - aim for 4+
051,IMPROVE EXISTING,JACLO 48-inch bottom-outlet drain body Brushed stainless 87248-BSS,180,1,3,B,Accessory/part,LOCAL (or quote your own freight) - 48-inch drain body,Fair,
052,IMPROVE EXISTING,JACLO 24-inch Zeroedge drain body Brushed stainless (bss) 88224-BSS,135,1,3,B,Accessory/part,SHIP + LOCAL,Fair,"Remove internal code/odd finish text ""(bss)"" from title"
053,IMPROVE EXISTING,JACLO Uptown Contempo bathroom faucet Satin nickel 8880-L-SN,325,2,3,B,Finished fixture - homeowner + contractor,SHIP + LOCAL,Strong,
054,IMPROVE EXISTING,JACLO 24-inch slim shower wall bar Graphite 9624-GPH,320,1,2,B,Accessory/part,SHIP + LOCAL,Fair,Only 2 photo(s) - aim for 4+
055,IMPROVE EXISTING,JACLO Round pressure-balance trim with diverter Chrome (pch) A859-TRIM-PCH,130,2,3,B,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,Fair (narrow buyer pool; better with shipping),"Title 74 chars - trim to <=70; Remove internal code/odd finish text ""(pch)"" from title"
056,IMPROVE EXISTING,JACLO Round pressure-balance trim with diverter Satin nickel A859-TRIM-SN,180,1,3,B,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,Fair (narrow buyer pool; better with shipping),Title 73 chars - trim to <=70
057,IMPROVE EXISTING,JACLO Contempo II 32-inch grab bar Chrome (pch) G40-32-PCH,245,3,3,B,Accessory/part,SHIP + LOCAL,Fair,"Remove internal code/odd finish text ""(pch)"" from title"
058,IMPROVE EXISTING,JACLO Diva hand shower Graphite S456-GPH,105,1,2,B,Finished fixture - homeowner + contractor,SHIP + LOCAL,Good,Only 2 photo(s) - aim for 4+
059,IMPROVE EXISTING,Kohler Devonshire non-diverter tub spout Oil-rubbed bronze 373-2BZ,25,1,3,B,Accessory/part,Ship only as a bundle or buyer-paid; local preferred,Fair,
060,HOLD,Kohler Memoirs Stately volume-control trim Vibrant brushed nickel K-T10423-4S-BN,100,2,2,C,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,DO NOT POST YET,Cover is box/label - reshoot product before posting; Title 80 chars - trim to <=70; Only 2 photo(s) - aim for 4+
061,IMPROVE EXISTING,Moen Rain showerhead Chrome S6310EP,120,1,3,A,Finished fixture - homeowner + contractor,SHIP + LOCAL,Strong,
062,IMPROVE EXISTING,Moen Wynford shower trim Chrome T4502,105,1,3,A,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,Good,
063,IMPROVE EXISTING,Moen Wynford Roman tub trim Oil-rubbed bronze T653ORB,310,2,3,C,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,Fair (narrow buyer pool; better with shipping),Use photo 02 as cover (product) - current 01 is box/packaging
064,IMPROVE EXISTING,Moen Wynford Roman tub trim Brushed nickel T653BN,290,2,3,C,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,Fair (narrow buyer pool; better with shipping),Use photo 02 as cover (product) - current 01 is box/packaging
065,IMPROVE EXISTING,Moen Weymouth Roman tub trim with hand shower Brushed nickel TS21104BN,1455,1,2,C,Trim - needs matching rough valve (contractor/remodel buyer),LOCAL ONLY - over Meta $500 shipped-item cap,Weak,Cover is box/label - reshoot product before posting; Only 2 photo(s) - aim for 4+
066,IMPROVE EXISTING,Moen M-CORE shower trim Oil-rubbed bronze UT24502EPORB,265,1,2,B,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,Fair (narrow buyer pool; better with shipping),Only 2 photo(s) - aim for 4+
067,IMPROVE EXISTING,Moen M-CORE tub & shower trim Chrome UT24503EP,195,2,2,C,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,Weak,Cover is box/label - reshoot product before posting; Only 2 photo(s) - aim for 4+
068,IMPROVE EXISTING,Moen M-CORE tub & shower trim Oil-rubbed bronze UT24503EPORB,265,1,3,B,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,Fair (narrow buyer pool; better with shipping),
069,IMPROVE EXISTING,Moen M-CORE shower trim Chrome UT35502,200,1,2,B,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,Fair (narrow buyer pool; better with shipping),Only 2 photo(s) - aim for 4+
070,HOLD,Mti Incline 2 undermount bathroom sink Matte white MTCS770-WH-MT,540,1,2,C,Finished fixture - homeowner + contractor,LOCAL ONLY - over Meta $500 shipped-item cap,DO NOT POST YET,"Cover is box/label - reshoot product before posting; Brand spelled ""Mti"" - use ""MTI""; Only 2 photo(s) - aim for 4+"
071,IMPROVE EXISTING,Newport Brass Joffrey toilet-paper holder Polished nickel - natural (15) 41-27-15,120,1,3,B,Accessory/part,SHIP + LOCAL,Fair,"Title 81 chars - trim to <=70; Remove internal code/odd finish text ""(15)"" from title"
072,IMPROVE EXISTING,Pfister Freestanding tub-filler rough valve 0X6-270R,95,3,2,B,Rough valve - contractor buyer,SHIP + LOCAL,Fair (narrow buyer pool; better with shipping),Only 2 photo(s) - aim for 4+
073,IMPROVE EXISTING,Pfister Toilet-paper holder Chrome BPHDA1C,35,5,2,B,Accessory/part,Ship only as a bundle or buyer-paid; local preferred,Fair,Only 2 photo(s) - aim for 4+
074,IMPROVE EXISTING,Phylrich Wall-bidet thermostatic rough valve 1-124,185,8,2,B,Rough valve - contractor buyer,SHIP + LOCAL,Fair (narrow buyer pool; better with shipping),Only 2 photo(s) - aim for 4+
075,IMPROVE EXISTING,Phylrich Single-handle lavatory faucet French brass (002) 230-18/002,200,2,3,B,Finished fixture - homeowner + contractor,SHIP + LOCAL,Strong,"Remove internal code/odd finish text ""(002)"" from title"
076,HOLD,Phylrich Push-pull manual diverter DPB2100X21C,55,5,1,C,Accessory/part,SHIP + LOCAL,DO NOT POST YET,Cover is box/label - reshoot product before posting; Only 1 photo(s) - aim for 4+
077,HOLD,Qmdrain Delmar Kai 48-inch linear drain Gold 33.200.48GD,400,1,3,C,Accessory/part,LOCAL (or quote your own freight) - 48-inch linear drain,DO NOT POST YET,"Cover is box/label - reshoot product before posting; Brand ""Qmdrain"" - use ""QM Drain"""
078,IMPROVE EXISTING,Riobel Two-spray hand shower & slide bar Black 4825BK,215,1,3,B,Finished fixture - homeowner + contractor,SHIP + LOCAL,Strong,
079,IMPROVE EXISTING,Riobel Salome / Equinox supply elbow Black 772BK,40,1,2,A,Accessory/part,SHIP + LOCAL,Fair,Only 2 photo(s) - aim for 4+
080,IMPROVE EXISTING,Riobel Paradox widespread bathroom faucet Brushed gold PX08BG,400,1,2,B,Finished fixture - homeowner + contractor,SHIP + LOCAL,Strong,Only 2 photo(s) - aim for 4+
081,HOLD,Riobel Thermostatic & pressure-balance rough valve R46,165,4,2,C,Rough valve - contractor buyer,SHIP + LOCAL,DO NOT POST YET,Cover is box/label - reshoot product before posting; Only 2 photo(s) - aim for 4+
082,HOLD,Riobel Salome bathroom faucet with pop-up Chrome SA01C,335,1,2,B,Finished fixture - homeowner + contractor,SHIP + LOCAL,DO NOT POST YET,Only 2 photo(s) - aim for 4+
084,IMPROVE EXISTING,Riobel Riu valve trim Chrome TRUTM44KNC,230,1,2,B,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,Fair (narrow buyer pool; better with shipping),Only 2 photo(s) - aim for 4+
085,HOLD,Robern PL Portray 24 × 30 medicine cabinet Beveled mirror P2C2430D4FBMM,300,1,2,B,Accessory/part,LOCAL (or quote your own freight) - mirror/glass cabinet,DO NOT POST YET,"Title 71 chars - trim to <=70; Remove internal code/odd finish text ""Beveled mirror"" from title; Only 2 photo(s) - aim for 4+"
086,HOLD,Robern PL Series 19¼ × 30 medicine cabinet PLM2030B,175,1,2,C,Accessory/part,LOCAL (or quote your own freight) - mirror/glass cabinet,DO NOT POST YET,Cover is box/label - reshoot product before posting; Only 2 photo(s) - aim for 4+
087,IMPROVE EXISTING,ROHL Double robe hook Satin nickel A1481IWSTN,140,2,2,A,Accessory/part,SHIP + LOCAL,Good,Only 2 photo(s) - aim for 4+
088,HOLD,ROHL Campo pressure-balance trim Chrome A2210ILAPC,110,1,1,C,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,DO NOT POST YET,Cover is box/label - reshoot product before posting; Only 1 photo(s) - aim for 4+
089,HOLD,ROHL Campo pressure-balance trim Satin nickel A2210ILSTN,200,2,1,C,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,DO NOT POST YET,Cover is box/label - reshoot product before posting; Only 1 photo(s) - aim for 4+
090,HOLD,ROHL Meda pressure-balance trim Chrome LV110L-APC,250,1,1,C,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,DO NOT POST YET,Cover is box/label - reshoot product before posting; Only 1 photo(s) - aim for 4+
091,HOLD,ROHL Meda pressure-balance trim Satin nickel LV110L-STN,300,1,1,C,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,DO NOT POST YET,Cover is box/label - reshoot product before posting; Only 1 photo(s) - aim for 4+
092,HOLD,ROHL 1983 bar / prep faucet Satin nickel R7514SLMSTN-2,475,2,4,B,Finished fixture - homeowner + contractor,SHIP + LOCAL,DO NOT POST YET,Price conflict: Earlier owner override was $475; local website now shows $499; no price in the latest Facebook export. Verify current li
093,IMPROVE EXISTING,ROHL Graceline pull-down kitchen faucet Satin nickel MB7930LMSTN,550,2,3,A,Finished fixture - homeowner + contractor,LOCAL ONLY - over Meta $500 shipped-item cap,Strong,Price conflict: Facebook export shows $550; local website shows $499. Decide one price before editing.
094,IMPROVE EXISTING,ROHL Myrina pull-down kitchen faucet Matte black MY56D1LMMB,435,2,4,B,Finished fixture - homeowner + contractor,SHIP + LOCAL,Strong,
095,HOLD,ROHL Myrina bar / prep faucet Chrome MY61D1LMAPC,270,1,1,C,Finished fixture - homeowner + contractor,SHIP + LOCAL,DO NOT POST YET,Cover is box/label - reshoot product before posting; Only 1 photo(s) - aim for 4+
096,HOLD,ROHL Myrina bar / prep faucet Matte black MY61D1LMMB,420,2,1,C,Finished fixture - homeowner + contractor,SHIP + LOCAL,DO NOT POST YET,Cover is box/label - reshoot product before posting; Only 1 photo(s) - aim for 4+
097,HOLD,ROHL Myrina bar / prep faucet Satin nickel MY61D1LMSTN,420,2,1,C,Finished fixture - homeowner + contractor,SHIP + LOCAL,DO NOT POST YET,Cover is box/label - reshoot product before posting; Only 1 photo(s) - aim for 4+
098,HOLD,ROHL 1983 bar / prep faucet Chrome R7514SLMAPC-2,395,2,1,C,Finished fixture - homeowner + contractor,SHIP + LOCAL,DO NOT POST YET,Cover is box/label - reshoot product before posting; Only 1 photo(s) - aim for 4+
099,HOLD,ROHL Graceline pull-down kitchen faucet Chrome MB7930LMAPC,185,2,1,C,Finished fixture - homeowner + contractor,SHIP + LOCAL,DO NOT POST YET,Cover is box/label - reshoot product before posting; $185 vs $499-550 for same Graceline faucet in 093 - confirm not a typo; Only 1 photo(s) - aim for 4+
100,HOLD,ROHL Lux pull-down kitchen faucet Polished nickel R7520PN,540,1,1,C,Finished fixture - homeowner + contractor,LOCAL ONLY - over Meta $500 shipped-item cap,DO NOT POST YET,Cover is box/label - reshoot product before posting; Price conflict: Facebook export shows $540; local website shows $499. Decide one price before editing.; Only 1 photo(s) - aim for 4+
101,VERIFY IDENTITY,ROHL Baltera multifunction showerhead Satin nickel WI0197STN,155,7,3,A,Finished fixture - homeowner + contractor,SHIP + LOCAL,DO NOT POST YET,Price conflict: Facebook URL/model association is crossed with the site. Do not rely on this URL until checked live.
102,VERIFY IDENTITY,ROHL Baltera multifunction showerhead Chrome WI0197APC,90,4,1,C,Finished fixture - homeowner + contractor,SHIP + LOCAL,DO NOT POST YET,Cover is box/label - reshoot product before posting; Price conflict: Facebook URL/model association is crossed with the site. Do not rely on this URL until checked live.; $90 vs $155 for same showerhead in 101 - finish/URL crossed; verify; Only 1 photo(s) - aim for 4+
118,IMPROVE EXISTING,Delta Trillian Roman tub trim with hand shower Black stainless T4746-KS,440,1,3,C,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,Fair (narrow buyer pool; better with shipping),Use photo 02 as cover (product) - current 01 is box/packaging; Title 71 chars - trim to <=70
