Ref,Recommendation,Group,Reason,New title,Price,Qty,Photos,Photo order (website photo #),Check before posting,Current Facebook listing,Facebook status,Folder
039,Delete and rebuild now,A,Photo 4 shows the spout; cover is the box.,"Isenberg/Flusso Wall-Mount Tub Spout, Chrome - New (196.2300CP)",105,1,4,4 3 2 1,,https://www.facebook.com/marketplace/item/968191699645113/,Live (verified 2026-09-21),listings/1 - Rebuild now/039 Isenberg Tub spout - $105
040,Delete and rebuild now,A,Photo 3 (spout) is a good cover; current cover is boxes.,"Isenberg/Flusso 8"" Widespread Bathroom Faucet, Brushed Nickel - New",210,2,3,3 2 1,,https://www.facebook.com/marketplace/item/1701534605309689/,Live (verified 2026-09-21),listings/1 - Rebuild now/040 Isenberg 8inch widespread bathroom faucet - $210
041,Delete and rebuild now,A,Photo 3 (spout) is a good cover; current cover is a box.,"Isenberg/Flusso Roman Tub Faucet w/ Hand Shower, Brushed Nickel - New",295,1,4,3 2 4 1,,https://www.facebook.com/marketplace/item/1624413676055713/,Live (verified 2026-09-21),listings/1 - Rebuild now/041 Isenberg Roman tub faucet with hand shower - $295
042,Delete and rebuild now,A,Listing is stuck In review. Photo 4 shows the valve body.,Isenberg/Flusso Pressure-Balance Rough Valve w/ Stops - New,115,1,4,4 3 1 2,Confirm the full model suffix on the box (PBV.1005AS-BN vs PBV1005AS).,https://www.facebook.com/marketplace/item/2137611087123077/,In review (verified 2026-09-21),listings/1 - Rebuild now/042 Isenberg Pressurebalance valve with stops - $115
043,Delete and rebuild now,A,Photos 3-4 show the valve; photo 3 has a hand and shoe in frame.,Isenberg/Flusso Pressure-Balance Valve w/ 2-Way Diverter - New,115,2,4,4 3 1 2,Confirm whether it pairs with the UF.2100TCP trim (044) before offering a bundle.,https://www.facebook.com/marketplace/item/1401117288841054/,Live (verified 2026-09-21),listings/1 - Rebuild now/043 Isenberg Pressurebalance rough with twoway divert - $115
044,Delete and rebuild now,A,Photo 4 shows the handle; the trim plate is still bagged.,"Isenberg/Flusso 2-Output Shower Trim, Chrome - New (UF.2100TCP)",140,6,4,4 3 2 1,Confirm whether 043 (PBV1005ACP) is the matching rough before cross-promoting.,https://www.facebook.com/marketplace/item/1445238480796005/,Live (verified 2026-09-21),listings/1 - Rebuild now/044 Isenberg Twooutput shower trim - $140
045,"Keep; edit title, description and photo order",C,One clear photo of the cartridge. Fine for a $5 part.,Graff Replacement Cartridge V2038.32.5Z - New,5,1,1,1,Filename mislabel noted in your workbook (photo shows 45A). Correct item.,https://www.facebook.com/marketplace/item/1844571046525574/,Live (verified 2026-09-21),listings/3 - Keep and edit in place/045 Graff Replacement cartridge - $5
046,"Keep; edit title, description and photo order",C,One clear photo of the cartridge. Fine for a $5 part.,Graff Replacement Cartridge V-2038.31.5Z - New,5,1,1,1,Filename mislabel noted in your workbook (photo shows 46). Correct item.,https://www.facebook.com/marketplace/item/899584076343930/,Live (verified 2026-09-21),listings/3 - Keep and edit in place/046 Graff Replacement cartridge - $5
047,Delete and rebuild now,A,Photo 3 shows the coupling; cover is the box.,"Jaclo 3/4"" x 1/2"" Reducing Coupling, Satin Nickel - New",35,1,3,3 2 1,,https://www.facebook.com/marketplace/item/28492109010419922/,Live (verified 2026-09-21),listings/1 - Rebuild now/047 Jaclo Reducing coupling - $35
048,Delete and rebuild now,A,Listing is stuck In review. Photos are OK.,"Jaclo 60"" Double-Spiral Shower Hose, Graphite - New (3060-DS-GPH)",30,1,2,1 2,Bundle idea: 048 hose + 054 wall bar + 058 hand shower (all graphite). Check connections first.,https://www.facebook.com/marketplace/item/1797730551413476/,In review (verified 2026-09-21),listings/1 - Rebuild now/048 Jaclo 60inch doublespiral shower hose - $30
049,Delete and rebuild now,A,Grate visible in its wrap; cover is the box label.,"Jaclo 60"" Tile-In Shower Channel Grate, Brushed Stainless - New",100,1,3,3 2 1,,https://www.facebook.com/marketplace/item/1058166650351114/,Live (verified 2026-09-21),listings/1 - Rebuild now/049 Jaclo 60inch tilein channel grate  grate only - $100
050,Delete and rebuild now,A,Photo 2 shows the full pipe (crop out the shoe).,"Jaclo 48"" Ceiling Shower Nipple, Matte Black - New (801-12.48-MBK)",165,1,2,2 1,,https://www.facebook.com/marketplace/item/1634453408469265/,Live (verified 2026-09-21),listings/1 - Rebuild now/050 Jaclo 48inch ceiling shower nipple - $165
051,Delete and rebuild now,A,Drain body out of the box in 2-3; cover is a battered box.,"Jaclo 48"" Linear Shower Drain Body, Brushed Stainless - New",180,1,3,3 2 1,,https://www.facebook.com/marketplace/item/1118676503822222/,Live (verified 2026-09-21),listings/1 - Rebuild now/051 Jaclo 48inch bottomoutlet drain body - $180
052,Delete and rebuild now,A,Drain visible in open box; cover is a battered box.,"Jaclo 24"" Zeroedge Linear Shower Drain Body, Brushed Stainless - New",135,1,4,2 3 1 4,,https://www.facebook.com/marketplace/item/1407971648094063/,Live (verified 2026-09-21),listings/1 - Rebuild now/052 Jaclo 24inch Zeroedge drain body - $135
053,Delete and rebuild now,A,Photo 3 shows the full faucet set laid out.,"Jaclo Uptown Contempo Bathroom Faucet, Satin Nickel - New (8880-L-SN)",325,2,4,3 4 2 1,,https://www.facebook.com/marketplace/item/1605130367741704/,Live (verified 2026-09-21),listings/1 - Rebuild now/053 Jaclo Uptown Contempo bathroom faucet - $325
054,Delete and rebuild now,A,Photo 3 shows the bar in its box.,"Jaclo 24"" Slim Shower Wall Bar, Graphite - New (9624-GPH)",320,1,3,3 1 2,Bundle idea with 048 and 058 (graphite). Check connections first.,https://www.facebook.com/marketplace/item/29338098255777798/,Live (verified 2026-09-21),listings/1 - Rebuild now/054 Jaclo 24inch slim shower wall bar - $320
055,"Keep; edit title, description and photo order",C,Cover already shows the trim plate.,"Jaclo Round Pressure-Balance Shower Trim w/ Diverter, Chrome - New",130,2,4,1 3 2 4,,https://www.facebook.com/marketplace/item/3023761844660261/,Live (verified 2026-09-21),listings/3 - Keep and edit in place/055 Jaclo Round pressurebalance trim with diverter - $130
056,Delete and rebuild now,A,Photo 4 shows the trim plate; cover is the box.,"Jaclo Round Pressure-Balance Shower Trim w/ Diverter, Satin Nickel - New",180,1,4,4 3 1 2,,https://www.facebook.com/marketplace/item/3670450323102310/,Live (verified 2026-09-21),listings/1 - Rebuild now/056 Jaclo Round pressurebalance trim with diverter - $180
057,Delete and rebuild now,A,Photo 4 shows the grab bar; cover is boxes.,"Jaclo Contempo II 32"" Grab Bar, Polished Chrome - New (G40-32-PCH)",245,3,4,4 3 1 2,,https://www.facebook.com/marketplace/item/1379470827694166/,Live (verified 2026-09-21),listings/1 - Rebuild now/057 Jaclo Contempo II 32inch grab bar - $245
058,Delete and rebuild now,A,Photo 2 is a clean product shot; cover is the box.,"Jaclo Diva Hand Shower, Graphite - New (S456-GPH)",105,1,3,2 3 1,Bundle idea with 048 and 054 (graphite). Check connections first.,https://www.facebook.com/marketplace/item/2289025155190171/,Live (verified 2026-09-21),listings/1 - Rebuild now/058 Jaclo Diva hand shower - $105
059,Delete and rebuild now,A,Photo 3 shows the spout; cover is the box.,"Kohler Devonshire Tub Spout, Oil-Rubbed Bronze - New (373-2BZ)",25,1,3,3 2 1,,https://www.facebook.com/marketplace/item/2231322860770399/,Live (verified 2026-09-21),listings/1 - Rebuild now/059 Kohler Devonshire nondiverter tub spout - $25
060,"Reshoot, then delete and rebuild",B,Boxes only.,"Kohler Memoirs Stately Volume Control Trim, Brushed Nickel - New",100,2,2,2 1,,https://www.facebook.com/marketplace/item/2288836728549503/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/060 Kohler Memoirs Stately volumecontrol trim - $100
061,Delete and rebuild now,A,Photo 2 shows the showerhead; cover is the box.,"Moen 1.75 GPM Rain Showerhead, Chrome - New (S6310EP)",120,1,4,2 3 4 1,,https://www.facebook.com/marketplace/item/1092679689775248/,Live (verified 2026-09-21),listings/1 - Rebuild now/061 Moen Rain showerhead - $120
062,Delete and rebuild now,A,Photo 2 is a strong showerhead close-up.,"Moen Wynford Posi-Temp Shower Trim, Chrome - New (T4502)",105,1,3,2 3 1,,https://www.facebook.com/marketplace/item/2174689046728422/,Live (verified 2026-09-21),listings/1 - Rebuild now/062 Moen Wynford shower trim - $105
063,Delete and rebuild now,A,Photo 3 shows the spout; cover is boxes.,"Moen Wynford Roman Tub Faucet Trim, Oil-Rubbed Bronze - New",310,2,3,3 2 1,,https://www.facebook.com/marketplace/item/1656578149429958/,Live (verified 2026-09-21),listings/1 - Rebuild now/063 Moen Wynford Roman tub trim - $310
064,Delete and rebuild now,A,Photo 3 shows the spout; cover is boxes.,"Moen Wynford Roman Tub Faucet Trim, Brushed Nickel - New (T653BN)",290,2,3,3 2 1,,https://www.facebook.com/marketplace/item/1075339865120221/,Live (verified 2026-09-21),listings/1 - Rebuild now/064 Moen Wynford Roman tub trim - $290
065,"Reshoot, then delete and rebuild",B,"$1,455 item with no out-of-box photo; photos 2 and 3 are identical files.","Moen Weymouth Roman Tub Faucet w/ Hand Shower, Brushed Nickel - New",1455,1,2,2 1,"$1,455 ask: show the spout, handles and hand shower out of the tray before relisting.",https://www.facebook.com/marketplace/item/1764799198103396/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/065 Moen Weymouth Roman tub trim with hand shower - $1455
066,Delete and rebuild now,A,Photo 2 shows all trim parts laid out.,"Moen Wynford M-CORE Shower Trim, Oil-Rubbed Bronze - New",265,1,3,2 3 1,,https://www.facebook.com/marketplace/item/1130823139514111/,Live (verified 2026-09-21),listings/1 - Rebuild now/066 Moen MCORE shower trim - $265
067,"Reshoot, then delete and rebuild",B,Box and paperwork only; no trim shown.,"Moen Wynford M-CORE Tub & Shower Trim, Chrome - New (UT24503EP)",195,2,2,2 1,,https://www.facebook.com/marketplace/item/1705046950584888/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/067 Moen MCORE tub  shower trim - $195
068,Delete and rebuild now,A,Photo 3 shows the shower arm only; the trim plate and handle are not shown.,"Moen Wynford M-CORE Tub & Shower Trim, Oil-Rubbed Bronze - New",265,1,3,3 2 1,,https://www.facebook.com/marketplace/item/1366942252275254/,Live (verified 2026-09-21),listings/1 - Rebuild now/068 Moen MCORE tub  shower trim - $265
069,Delete and rebuild now,A,Photo 3 shows the showerhead; the box is hand-marked 70 A (known mislabel).,"Moen Wynford M-CORE 3-Series Shower Trim, Chrome - New (UT35502)",200,1,3,3 2 1,"Box is hand-marked ""70 A"" (a known mislabel). The model on the box, UT35502, is correct.",https://www.facebook.com/marketplace/item/1645293130541285/,Live (verified 2026-09-21),listings/1 - Rebuild now/069 Moen MCORE shower trim - $200
070,"Reshoot, then delete and rebuild",B,$540 sink shown only as a sealed carton.,"MTI Incline 2 Undermount Bathroom Sink, Matte White - New",540,1,2,1 2,Sink is shown only in its sealed carton. An open-box photo would help at $540; keep it sealed if you prefer and say so.,https://www.facebook.com/marketplace/item/2140282323535718/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/070 Mti Incline 2 undermount bathroom sink - $540
071,"Reshoot, then delete and rebuild",B,Holder only partly visible in foam and bag.,"Newport Brass Joffrey Toilet Paper Holder, Polished Nickel - New",120,1,3,2 3 1,,https://www.facebook.com/marketplace/item/1442480987743143/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/071 Newport Brass Joffrey toiletpaper holder - $120
072,Delete and rebuild now,A,Photo 2 shows the valve in its box.,Pfister Freestanding Tub Filler Rough Valve w/ Stops - New (0X6-270R),95,3,2,2 1,,https://www.facebook.com/marketplace/item/1244316044516805/,Live (verified 2026-09-21),listings/1 - Rebuild now/072 Pfister Freestanding tubfiller rough valve - $95
073,Delete and rebuild now,A,Photo 2 shows the holder out of the box.,"Pfister Deckard Toilet Paper Holder, Polished Chrome - New",35,5,2,2 1,,https://www.facebook.com/marketplace/item/1107865868663088/,Live (verified 2026-09-21),listings/1 - Rebuild now/073 Pfister Toiletpaper holder - $35
074,"Keep; edit title, description and photo order",C,Cover already shows the valve.,"Phylrich 1/2"" Mini Thermostatic Valve for Wall Bidet - New (1-124)",185,8,3,1 3 2,,https://www.facebook.com/marketplace/item/1548520797295018/,Live (verified 2026-09-21),listings/3 - Keep and edit in place/074 Phylrich Wallbidet thermostatic rough valve - $185
075,Delete and rebuild now,A,Photo 3 shows spout and trim parts.,"Phylrich Single-Handle Bathroom Faucet, French Brass - New",200,2,3,3 2 1,,https://www.facebook.com/marketplace/item/1819146039083926/,Live (verified 2026-09-21),listings/1 - Rebuild now/075 Phylrich Singlehandle lavatory faucet - $200
076,"Reshoot, then delete and rebuild",B,One cluttered group shot of bagged parts.,Phylrich Push-Pull Manual Diverter Part - New (DPB2100X21C),55,5,1,1,,https://www.facebook.com/marketplace/item/1604582634642128/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/076 Phylrich Pushpull manual diverter - $55
077,Delete and rebuild now,A,Photo 2 shows the gold drain in its packaging.,"QM Drain Delmar Kai 48"" Linear Shower Drain, Gold - New",400,1,3,2 3 1,,https://www.facebook.com/marketplace/item/967103403098788/,Live (verified 2026-09-21),listings/1 - Rebuild now/077 Qmdrain Delmar Kai 48inch linear drain - $400
078,Delete and rebuild now,A,Photo 2 shows the hand shower and hose.,"Riobel 2-Spray Hand Shower Kit w/ Slide Bar, Black - New (4825BK)",215,1,3,2 3 1,,https://www.facebook.com/marketplace/item/2137282320331711/,Live (verified 2026-09-21),listings/1 - Rebuild now/078 Riobel Twospray hand shower  slide bar - $215
079,"Keep; edit title, description and photo order",C,Cover already shows the elbow.,"Riobel Salome/Equinox Supply Elbow, Black - New (772BK)",40,1,2,1 2,,https://www.facebook.com/marketplace/item/1457641746205260/,Live (verified 2026-09-21),listings/3 - Keep and edit in place/079 Riobel Salome  Equinox supply elbow - $40
080,Delete and rebuild now,A,Photo 2 shows the full faucet set; photos 2 and 3 are identical files.,"Riobel Paradox Widespread Bathroom Faucet, Brushed Gold - New",400,1,2,2 1,,https://www.facebook.com/marketplace/item/1393986545615695/,Live (verified 2026-09-21),listings/1 - Rebuild now/080 Riobel Paradox widespread bathroom faucet - $400
081,Delete and rebuild now,A,Photo 2 shows the valves with plaster guards.,Riobel R46 Thermostatic/Pressure-Balance Rough Valve - New,165,4,2,2 1,,https://www.facebook.com/marketplace/item/1076617101621174/,Live (verified 2026-09-21),listings/1 - Rebuild now/081 Riobel Thermostatic  pressurebalance rough valv - $165
082,Delete and rebuild now,A,Photo 2 shows the faucet in the box.,"Riobel Salome Single-Hole Bathroom Faucet, Chrome - New (SA01C)",335,1,2,2 1,,https://www.facebook.com/marketplace/item/1495554342400531/,Live (verified 2026-09-21),listings/1 - Rebuild now/082 Riobel Salome bathroom faucet with popup - $335
084,Delete and rebuild now,A,Photo 2 shows trim parts in the box.,"Riobel Riu Valve Trim Kit, Chrome - New (TRUTM44KNC)",230,1,2,2 1,,https://www.facebook.com/marketplace/item/1386043736442803/,Live (verified 2026-09-21),listings/1 - Rebuild now/084 Riobel Riu valve trim - $230
085,Delete and rebuild now,A,Photo 2 shows the cabinet in the box.,"Robern PL Portray 24x30 Medicine Cabinet, Beveled Mirror - New",300,1,2,2 1,,https://www.facebook.com/marketplace/item/2303347753751755/,Live (verified 2026-09-21),listings/1 - Rebuild now/085 Robern PL Portray 24  30 medicine cabinet - $300
086,Delete and rebuild now,A,Photo 2 shows the mirror door (on a rug).,"Robern PL Series 19.25x30 Medicine Cabinet, Black Interior - New",175,1,2,2 1,"Inventory says the cabinet body, mirror door, shelves and hardware still need checking. Check them before listing.",https://www.facebook.com/marketplace/item/1105256031852861/,Live (verified 2026-09-21),listings/1 - Rebuild now/086 Robern PL Series 19  30 medicine cabinet - $175
087,Delete and rebuild now,A,Photo 3 shows the hook.,"Rohl Double Robe Hook, Satin Nickel - New (A1481IWSTN)",140,2,3,3 2 1,,https://www.facebook.com/marketplace/item/1058706996994988/,Live (verified 2026-09-21),listings/1 - Rebuild now/087 Rohl Double robe hook - $140
088,"Reshoot, then delete and rebuild",B,Taped carton only.,"Rohl Campo Pressure-Balance Shower Trim, Chrome - New",110,1,2,1 2,,https://www.facebook.com/marketplace/item/1387790263510320/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/088 Rohl Campo pressurebalance trim - $110
089,"Reshoot, then delete and rebuild",B,Taped cartons only.,"Rohl Campo Pressure-Balance Shower Trim, Satin Nickel - New",200,2,2,1 2,,https://www.facebook.com/marketplace/item/1625993752370707/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/089 Rohl Campo pressurebalance trim - $200
090,"Reshoot, then delete and rebuild",B,Taped carton only.,"Rohl Meda Pressure-Balance Shower Trim, Chrome - New (LV110L-APC)",250,1,2,1 2,,https://www.facebook.com/marketplace/item/28644315851921425/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/090 Rohl Meda pressurebalance trim - $250
091,"Reshoot, then delete and rebuild",B,Taped carton only.,"Rohl Meda Pressure-Balance Shower Trim, Satin Nickel - New",300,1,2,1 2,,https://www.facebook.com/marketplace/item/1050777200926320/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/091 Rohl Meda pressurebalance trim - $300
093,Delete and rebuild now,A,Photo 3 shows the faucet in foam.,"Rohl Graceline Pull-Down Kitchen Faucet, Satin Nickel - New",499,2,4,3 4 2 1,Price is $499 (Facebook price changed Sep 22 per your site file). Your CSV and workbook still show $550.,https://www.facebook.com/marketplace/item/974298832360227/,Live (verified 2026-09-21),listings/1 - Rebuild now/093 Rohl Graceline pulldown kitchen faucet - $499
094,Delete and rebuild now,A,Photo 4 shows the faucet.,"Rohl Myrina Pull-Down Kitchen Faucet, Matte Black - New",435,2,5,4 3 5 1 2,,https://www.facebook.com/marketplace/item/2019950025338301/,Live (verified 2026-09-21),listings/1 - Rebuild now/094 Rohl Myrina pulldown kitchen faucet - $435
095,"Reshoot, then delete and rebuild",B,Boxes only.,"Rohl Myrina Bar/Prep Faucet, Polished Chrome - New (MY61D1LMAPC)",270,1,2,1 2,,https://www.facebook.com/marketplace/item/28568483486118637/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/095 Rohl Myrina bar  prep faucet - $270
096,"Reshoot, then delete and rebuild",B,Boxes only.,"Rohl Myrina Bar/Prep Faucet, Matte Black - New (MY61D1LMMB)",420,2,2,1 2,,https://www.facebook.com/marketplace/item/1016536134768223/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/096 Rohl Myrina bar  prep faucet - $420
097,"Reshoot, then delete and rebuild",B,Boxes only.,"Rohl Myrina Bar/Prep Faucet, Satin Nickel - New (MY61D1LMSTN)",420,2,2,1 2,,https://www.facebook.com/marketplace/item/898585053119023/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/097 Rohl Myrina bar  prep faucet - $420
098,"Reshoot, then delete and rebuild",B,Boxes only.,"Rohl 1983 Bar/Prep Faucet, Polished Chrome - New (R7514SLMAPC-2)",395,2,2,1 2,,https://www.facebook.com/marketplace/item/1572617861559480/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/098 Rohl 1983 bar  prep faucet - $395
099,"Reshoot, then delete and rebuild",B,Boxes only.,"Rohl Graceline Pull-Down Kitchen Faucet, Polished Chrome - New",185,2,2,1 2,"Check the price: $185 against a workbook retail of $365, while the satin-nickel version (093) is $499/$1,099.",https://www.facebook.com/marketplace/item/1830270914815609/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/099 Rohl Graceline pulldown kitchen faucet - $185
100,"Reshoot, then delete and rebuild",B,Boxes only; $540 faucet.,"Rohl Lux Pull-Down Kitchen Faucet, Polished Nickel - New (R7520PN)",499,1,2,1 2,Price is $499 (Facebook price changed Sep 22 per your site file). Your CSV and workbook still show $540.,https://www.facebook.com/marketplace/item/1420270840048168/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/100 Rohl Lux pulldown kitchen faucet - $499
101,Delete and rebuild now,A,Photo 3 shows the showerhead.,"Rohl Baltera Multifunction Showerhead, Satin Nickel - New (WI0197STN)",155,7,3,3 2 1,,https://www.facebook.com/marketplace/item/2262026264339995/,Live (verified 2026-09-21),listings/1 - Rebuild now/101 Rohl Baltera multifunction showerhead - $155
102,"Reshoot, then delete and rebuild",B,One photo of four boxes.,"Rohl Baltera Multifunction Showerhead, Polished Chrome - New",90,4,1,1,,https://www.facebook.com/marketplace/item/28127745350208002/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/102 Rohl Baltera multifunction showerhead - $90
118,Delete and rebuild now,A,Photo 3 shows the spout.,"Delta Trillian Roman Tub Trim w/ Hand Shower, Black Stainless - New",440,1,3,3 2 1,,https://www.facebook.com/marketplace/item/1233563388947328/,Live (verified 2026-09-21),listings/1 - Rebuild now/118 Delta Trillian Roman tub trim with hand shower - $440
